Master_Rec,zone_id,hour,Day,Hours,Latitude,Longitude
300859768,6,13,Friday,13,35.254169,-89.80359
300859769,4,17,Tuesday,17,35.20472,-89.86569
300859770,8,13,Friday,13,35.204711,-89.792002
300859770,8,13,Friday,13,35.204711,-89.792002
300859771,1,7,Friday,7,35.219517,-89.820132
300859774,3,23,Friday,23,35.20558,-89.8344
300859774,3,23,Friday,23,35.20558,-89.8344
300859775,2,14,Friday,14,35.204673,-89.844436
300859777,6,14,Saturday,14,35.261343,-89.78475
300859777,6,14,Saturday,14,35.261343,-89.78475
300859778,2,12,Sunday,12,35.217003,-89.836108
300859779,4,13,Sunday,13,35.21883,-89.867952
300859782,2,6,Monday,6,35.229058,-89.836263
300860037,1,15,Monday,15,35.205578,-89.834045
300860037,1,15,Monday,15,35.205578,-89.834045
300860038,4,16,Monday,16,35.204536,-89.874017
300860411,1,8,Tuesday,8,35.207793,-89.823129
300860412,1,13,Thursday,13,35.21296,-89.81439
300860412,1,13,Thursday,13,35.21296,-89.81439
300860412,1,13,Thursday,13,35.21296,-89.81439
300860412,1,13,Thursday,13,35.21296,-89.81439
300860414,3,6,Wednesday,6,35.20487,-89.87684
300860415,1,7,Wednesday,7,35.230504,-89.855954
300860416,4,15,Wednesday,15,35.221122,-89.863634
300860416,4,15,Wednesday,15,35.221122,-89.863634
300860417,4,15,Wednesday,15,35.204494,-89.865822
300861386,1,7,Thursday,7,35.219324,-89.820436
300861387,4,16,Thursday,16,35.218434,-89.86235
300861387,4,16,Thursday,16,35.218434,-89.86235
300861388,5,6,Friday,6,35.264473,-89.79706
300861392,2,10,Friday,10,35.234942,-89.811847
300861393,4,14,Saturday,14,35.204682,-89.864262
300861393,4,14,Saturday,14,35.204682,-89.864262
300861396,1,18,Monday,18,35.237172,-89.79274
300861396,1,18,Monday,18,35.237172,-89.79274
300861531,1,15,Tuesday,15,35.216032,-89.792217
300861532,5,19,Tuesday,19,35.241259,-89.842453
300861567,1,18,Tuesday,18,35.208994,-89.814853
300861573,1,12,Wednesday,12,35.218215,-89.79176
300861955,4,14,Wednesday,14,35.205361,-89.838014
300861957,4,18,Wednesday,18,35.22657,-89.856848
300861958,8,19,Wednesday,19,35.212562,-89.81394
300861958,8,19,Wednesday,19,35.212562,-89.81394
300861958,8,19,Wednesday,19,35.212562,-89.81394
300861958,8,19,Wednesday,19,35.212562,-89.81394
300861959,7,6,Thursday,6,35.21169,-89.765051
300861962,4,21,Thursday,21,35.229547,-89.845315
300862547,8,11,Friday,11,35.207675,-89.793675
300862548,6,0,Thursday,0,35.238732,-89.791259
300862553,1,21,Saturday,21,35.23307,-89.813197
300862554,8,17,Saturday,17,35.216354,-89.791711
300862555,2,4,Monday,4,35.218689,-89.825906
300862742,3,11,Monday,11,35.204727,-89.848005
300862743,6,14,Monday,14,35.255456,-89.789276
300862746,2,15,Monday,15,35.230587,-89.817045
300862747,2,16,Monday,16,35.206988,-89.840559
300862938,8,14,Tuesday,14,35.206259,-89.808516
300862939,3,1,Saturday,1,35.205132,-89.834923
300862939,3,1,Saturday,1,35.205132,-89.834923
300862977,8,8,Wednesday,8,35.216297,-89.79165
300863008,2,15,Wednesday,15,35.216986,-89.839167
300863009,1,14,Wednesday,14,35.205325,-89.834456
300863009,1,14,Wednesday,14,35.205325,-89.834456
300863158,4,17,Tuesday,17,35.204954,-89.868512
300863179,4,6,Tuesday,6,35.213067,-89.873776
300863355,8,8,Thursday,8,35.207729,-89.794372
300863356,2,12,Thursday,12,35.205421,-89.840543
300863357,2,14,Thursday,14,35.237052,-89.835688
300863981,2,16,Saturday,16,35.2047,-89.843503
300863982,1,17,Saturday,17,35.207632,-89.791845
300863983,2,22,Sunday,22,35.22862,-89.837892
300863984,4,17,Sunday,17,35.204766,-89.863493
300863984,4,17,Sunday,17,35.204766,-89.863493
300864017,3,7,Friday,7,35.20415,-89.87206
300864546,2,18,Monday,18,35.205287,-89.838207
300864547,2,17,Monday,17,35.206061,-89.840577
300864548,4,12,Tuesday,12,35.214736,-89.874814
300864549,5,14,Tuesday,14,35.241257,-89.844836
300865790,3,17,Saturday,17,35.198976,-89.841013
300720626,1,15,Thursday,15,35.212959,-89.814606
300720626,1,15,Thursday,15,35.212959,-89.814606
300720626,1,15,Thursday,15,35.212959,-89.814606
300720626,1,15,Thursday,15,35.212959,-89.814606
300720627,3,14,Thursday,14,35.205278,-89.834562
300720627,3,14,Thursday,14,35.205278,-89.834562
300720776,4,19,Thursday,19,35.204583,-89.857711
300723148,2,18,Thursday,18,35.216988,-89.835815
300723150,4,10,Saturday,10,35.205166,-89.882742
300723152,4,23,Friday,23,35.213456,-89.860401
300723153,4,16,Sunday,16,35.207671,-89.858026
300723159,3,12,Monday,12,35.20466,-89.85598
300723163,3,19,Monday,19,35.188647,-89.868791
300723164,4,8,Tuesday,8,35.213245,-89.87825
300723165,1,17,Tuesday,17,35.228855,-89.81058
300723165,1,17,Tuesday,17,35.228855,-89.81058
300723168,2,15,Wednesday,15,35.22949,-89.83474
300723169,3,17,Tuesday,17,35.205203,-89.838485
300723170,3,14,Wednesday,14,35.204265,-89.873003
300723177,4,18,Wednesday,18,35.20428,-89.867584
300723178,4,17,Thursday,17,35.228567,-89.848062
300723180,4,22,Saturday,22,35.204648,-89.858976
300723181,2,21,Sunday,21,35.229046,-89.836494
300723218,2,10,Monday,10,35.221148,-89.825778
300723225,3,11,Monday,11,35.19507,-89.84502
300723226,2,6,Monday,6,35.229074,-89.836315
300723495,4,15,Monday,15,35.218302,-89.863403
300723495,4,15,Monday,15,35.218302,-89.863403
300723496,6,20,Sunday,20,35.261295,-89.78438
300723496,6,20,Sunday,20,35.261295,-89.78438
300723720,1,17,Tuesday,17,35.229133,-89.81035
300723720,1,17,Tuesday,17,35.229133,-89.81035
300723724,2,15,Tuesday,15,35.22769,-89.845702
300723795,7,8,Wednesday,8,35.217026,-89.79154
300723796,3,19,Tuesday,19,35.190707,-89.869054
300723996,8,15,Wednesday,15,35.204807,-89.77772
300723996,8,15,Wednesday,15,35.204807,-89.77772
300724253,3,17,Thursday,17,35.204685,-89.84046
300724256,2,12,Thursday,12,35.204907,-89.840434
300724521,3,20,Thursday,20,35.204708,-89.851946
300724522,3,20,Thursday,20,35.204761,-89.849843
300724768,6,16,Saturday,16,35.261977,-89.804276
300724928,4,12,Sunday,12,35.20532,-89.882073
300725225,4,7,Tuesday,7,35.204823,-89.861534
300725227,1,12,Tuesday,12,35.216437,-89.792017
300725444,8,19,Tuesday,19,35.20474,-89.777689
